id;kodeinstansi;tipetabel;notabel;judultabel;judultabelen;created_at;updated_at
1;002;002001;1;Data Pajak Mineral Bukan Logam Kabupaten Soppeng;Soppeng Regency Non-Metal Mineral Tax Data;;
2;003;003001;1;Nilai Cukai Hasil Tembakau Kabupaten Soppeng;Tobacco Products Excise Value of Soppeng Regency;;
4;005;005001;1;Jumlah dan Nilai Usaha Berdasarkan Klasifikasi Industri Kabupaten Soppeng;Number and Business Value Based on Industry Classification in Soppeng Regency;;
5;006;006001;1;Produksi Getah Pinus Kabupaten Soppeng;Pine Sap Production in Soppeng Regency;;
6;006;006002;2;Harga Getah Pinus Kabupaten Soppeng;Soppeng Regency Pine Sap Price;;
7;007;007001;1;tabel kodim 1;kodim 1 table;;
8;007;007002;2;tabel kodim 2;kodim 2 table;;
9;008;008001;1;Omzet dan Nilai Laba Koperasi di Kabupaten Soppeng;Turnover and Profit Value of Cooperatives in Soppeng Regency;;
10;009;009001;1;Jumlah Produksi Air Yang Didistribusikan dan Harga di Kabupaten Soppeng;Amount of Distributed Water Production and Prices in Soppeng Regency;;
11;010;010001;1;Omzet dan Nilai Laba Pegadaian di Kabupaten Soppeng;Turnover and Profit Value of Pawnshops in Soppeng Regency;;
12;011;011001;1;Jumlah Usaha dan Omzet Perdagangan di Kabupaten Soppeng;Number of Business and Trade Turnover in Soppeng Regency;;
14;013;013001;1;Produksi Perikanan Kabupaten Soppeng;Soppeng Regency Fisheries Production;;
15;014;014001;1;Produksi Tembakau dan Kapas Kabupaten Soppeng;Tobacco and Cotton Production in Soppeng Regency;;
16;014;014002;2;Harga Tembakau dan Kapas Kabupaten Soppeng;Tobacco and Cotton Prices in Soppeng Regency;;
17;015;015001;1;Produksi Peternakan Kabupaten Soppeng;Livestock Production in Soppeng Regency;;
18;016;016001;1;Jumlah Pelanggan; kWh terjual dan nilai penjualan listrik Kabupaten Soppeng;The number of customers; kWh sold and the sales value of electricity in Soppeng Regency;;
19;017;017001;1;Jumlah Pengiriman; Nilai dan Jumlah Penerimaan Surat di Kabupaten Soppeng;Number of Sent; Value and Total Received Letters in Soppeng Regency;;
20;018;018001;1;Jumlah Proyek dan Nilai Konstruksi Yang Dibangun di Kabupaten Soppeng;Number of Projects and Construction Value Built in Soppeng Regency;;
21;050;050001;1;Jumlah Obyek Pemeriksaan berdasarkan PPKT menurut Jenis Sasaran;Number of Inspection Object based Annual Supervision Work Programme by Kind of Target;;
22;050;050002;2;Jumlah Obyek Pemeriksaan berdasarkan NON PPKT menurut Jenis Sasaran;Number of  Non Annual Supervision Work Program Inspection Object by Kind of Target;;
23;035;035001;1;Banyaknya Kasus Penyakit Menurut Kecamatan dan Jenis Penyakit di Kabupaten Soppeng;Number of Cases of Disease by Subdistrict and Type of Disease in Soppeng Regency;;
24;034;034001;1;Jumlah Organisasi Kepemudaan menurut Kecamatan dan Jenis Organisasi di Kabupaten Soppeng;Number of Youth Organizations by Subdistrict and Type of Organization in Soppeng Regency;;
25;033;033001;1;Jumlah Rumah Makan/Restoran Menurut Kecamatan di Kabupaten Soppeng;Jumlah Rumah Makan/Restoran Menurut Kecamatan di Kabupaten Soppeng;;
26;015;015002;2;Luas Area Penangkapan Ikan Menurut Kecamatan dan Lokasi Penangkapan di Kabupaten Soppeng;Area of Fishing by Subdistrict and Location of Fishinig in Soppeng Regency;;
27;032;032001;1;Luas Areal Tanaman Perkebunan Menurut Kecamatan dan Jenis Tanaman di Kabupaten Soppeng (ha);Planted Area of Estate Crops by Subdistrict and Type of Crops in Soppeng Regency (ha);;
28;032;032002;2;Luas Lahan Pertanian Menurut Kecamatan dan Jenis di Kabupaten Soppeng;Agriculture Land by Subdistrict and Type of Agriculture Land in Soppeng Regency;;
29;031;031001;1;Jumlah Sekolah; Guru; dan Murid Taman Kanak-Kanak (TK) di Bawah Kementerian Pendidikan dan Kebudayaan Menurut Kecamatan di Kabupaten Soppeng;Number of Schools; Teachers; and Pupils in Kindergarten Under The Ministry of Education and Culture by Subdistrict in Soppeng Regency;;
30;030;030001;1;Banyaknya Surat Izin Mendirikan Bangunan (IMB) yang Dikeluarkan Menurut Kecamatan di Kabupaten Soppeng;Number of Building Permit Issued by Subdistrict in Soppeng Regency;;
31;029;029001;1;Banyaknya Organisasi Perempuan menurut Kecamatan di Kabupaten Soppeng;Number of Women Organization by Subdistrict in Soppeng Regency;;
32;028;028001;1;Banyaknya Penduduk yang Mengurus Akte Catatan Sipil Menurut Kecamatan dan Kategori Catatan Sipil di Kabupaten Soppeng;Number of People= Managing Civil Registration Certificate by Subdistrict and Category of Civil Registration in Soppeng Regency;;
34;026;026001;1;Banyaknya Personil Satuan Polisi Pamong Praja dan Perlindungan Masyarakat Menurut Kecamatan di Kabupaten Soppeng;Number of Public Order Enforces and Civil Defense Personnel by Subdistrict in Soppeng Regency;;
36;024;024001;1;Perbandingan Realisasi Penerimaan dan Pengeluaran Pemerintah di Kabupaten Soppeng (Rupiah);Comparison of Actual Government Revenues and Expenditurers in Soppeng Regency (Rupiahs);;
