id,kodeinstansi,namainstansi,singkatan,alamatinstansi,created_at,updated_at
1,001,Badan Pusat Statistik,BPS,,,
2,002,Badan Pengelolaan Keuangan dan Aset Daerah,BPKAD,,,
3,003,Bea Cukai,Cukai,,,
4,004,Dinas Lingkungan Hidup,DLH,,,
5,005,Dinas Industri,Industri,,,
6,006,Dinas Kehutanan,Kehutanan,,,
7,007,Komando Distrik Militer,Kodim,,,
8,008,Koperasi,Koperasi,,,
9,009,Perusahaan Daerah Air Minum,PDAM,,,
10,010,Pegadaian,Pegadaian,,,
11,011,Dinas Perdagangan,Perdagangan,,,
12,012,Dinas Perhubungan,Perhubungan,,,
13,013,Dinas Perikanan,Perikanan,,,
14,014,Dinas perkebunan,perkebunan,,,
15,015,Dinas Peternakan,Peternakan,,,
16,016,Perusahaan Listrik Negara,PLN,,,
17,017,PT Pos Indonesia,POS,,,
18,018,Sekretariat daerah,Sekda,,,
19,019,Dinas Komunikasi, Informatika, Persandian dan Statistik,Diskominfo,,,
20,020,Badan Kesatuan Bangsa dan Politik,Kesbangpol,,,
21,021,Kesatuan Pengelolaan Hutan Wilayah V ,Kehutanan_Wil_V,,,
22,022,Badan Kepegawaian dan Pengembangan Sumber Daya Manusia ,BKPSDM,,,
23,023,Dinas Pemberdayaan Masyarakat Desa,DPMDes,,,
24,024,Badan Pengelolaan Keuangan dan Pajak Daerah,BPKPD,,,
25,025,Dinas Perpustakaan dan Kearsipan,DPK,,,
26,026,Satuan Polisi Pamong Praja dan Penanggulangan Kebakaran,PolPP_PK,,,
27,027,Dewan Perwakilan Rakyat Daerah,DPRD,,,
28,028,Dinas Kependudukan dan Pencatatan Sipil,Disdukcapil,,,
29,029,Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk dan Keluarga Berencana,DP3AP2KB,,,
30,030,Dinas Penanaman Modal,Pelayanan Terpadu Satu Pintu,Tenaga Kerja dan Transmigrasi,DPMPTSP_Nakertrans,,,
31,031,Dinas Pendidikan,Pendidikan,,,
32,032,Dinas Pertanian,Pertanian,,,
33,033,Dinas Perindustrian, Perdagangan, Koperasi dan Usaha kecil Menengah,DPPKUKM,,,
34,034,Dinas Pendidikan Kepemudaan dan Olahraga,DPKO,,,
35,035,Dinas Kesehatan,Kesehatan,,,
36,036,Rumah Sakit Umum Daerah,RSUD,,,
37,037,Dinas Pekerjaan Umum dan Penataan Ruang,DPUPR,,,
38,038,Dinas Sosial,Dinas Sosial,,,
39,039,KECAMATAN MARIORIWAWO,MARIORIWAWO,,,
40,040,KECAMATAN LALABATA,LALABATA,,,
41,041,KECAMATAN LILIRIAJA,LILIRIAJA,,,
42,042,KECAMATAN GANRA,GANRA,,,
43,043,KECAMATAN CITTA,CITTA,,,
44,044,KECAMATAN LILIRILAU,LILIRILAU,,,
45,045,KECAMATAN DONRI-DONRI,DONRI,,,
46,046,KECAMATAN MARIORIAWA,MARIORIAWA,,,
47,047,Dinas Perumahan dan Kawasan Pemukiman,DPKP,,,
48,048,Telkom Cangadi,Telkom Cangadi,,,
49,049,Badan Penanggulangan Bencana Daerah ,BPBD,,,
50,050,Inspektorat Daerah,Inspekda,,,
55,051,Bank Rakyat Indonesia ,BRI,,,
56,052,Bank Negara Indonesia ,BNI,,,
57,053,Bank Sulselbar,BSulselbar,,,
58,054,PT Telkom,Telkom,,,
59,055,Kejaksaan Negeri,Kejari,,,
60,056,Badan Urusan Logistik ,BULOG,,,
61,057,Rumah tahanan negara ,Rutan,,,
62,058,Badan Pertanahan Nasional,BPN,,,
63,059,Kementerian Agama,Kemenag,,,
64,060,Kepolisian Resor,POLRES,,,
65,061,Pengadilan Negeri,PN,,,
66,062,Pengadilan Agama,PA,,,
67,063,Akademi Kebidanan,AKBID,,,
68,064,Akademi Keperawatan,AKPER,,,
69,065,Lamappapoleonro,Lamappapoleonro,,,
70,066,Pettabaringeng,Pettabaringeng,,,
71,067,Al Gazali,Al_Gazali,,,
72,068,Kantor Pelayanan, Penyuluhan, dan Konsultasi Perpajakan,KP2KP,,,
73,069,Akademi Manajemen Informatika dan Komputer,AMIK,,,
74,070,Komisi Pemilihan Umum,KPU,,,
75,071,Badan Pengawas Pemilihan Umum,Bawaslu,,,
76,072,Bank Syariah Mandiri,BSM,,,
77,073,Badan Meteorologi, Klimatologi, dan Geofisika,BMKG,,,
